School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated,# of students not fully vaccinated,% of students not fully vaccinated,# of students never vaccinated,% of students never vaccinated
10X268,276,171,0.62,138,0.5,138,0.500,105,0.380
10X279,775,359,0.463,281,0.363,494,0.637,416,0.537
10X280,725,315,0.434,250,0.345,475,0.655,410,0.566
10X284,321,210,0.654,175,0.545,146,0.455,111,0.346
10X291,451,171,0.379,105,0.233,346,0.767,280,0.621
10X306,493,163,0.331,127,0.258,366,0.742,330,0.669
10X307,252,122,0.484,84,0.333,168,0.667,130,0.516
10X308,249,149,0.598,127,0.51,122,0.490,100,0.402
10X310,481,154,0.32,100,0.208,381,0.792,327,0.680
10X315,196,104,0.531,84,0.429,112,0.571,92,0.469
10X319,138,59,0.428,31,0.225,107,0.775,79,0.572
10X331,401,218,0.544,184,0.459,217,0.541,183,0.456
10X340,449,161,0.359,122,0.272,327,0.728,288,0.641
10X342,475,342,0.72,285,0.6,190,0.400,133,0.280
10X344,306,150,0.49,129,0.422,177,0.578,156,0.510
10X351,501,340,0.679,296,0.591,205,0.409,161,0.321
10X353,591,467,0.79,428,0.724,163,0.276,124,0.210
10X360,316,97,0.307,59,0.187,257,0.813,219,0.693
10X363,719,462,0.643,404,0.562,315,0.438,257,0.357
10X368,937,685,0.731,599,0.639,338,0.361,252,0.269
10X374,376,282,0.75,246,0.654,130,0.346,94,0.250
10X382,238,84,0.353,56,0.235,182,0.765,154,0.647
10X386,395,152,0.385,112,0.284,283,0.716,243,0.615
10X390,471,282,0.599,243,0.516,228,0.484,189,0.401
10X391,365,202,0.553,164,0.449,201,0.551,163,0.447
10X396,212,85,0.401,59,0.278,153,0.722,127,0.599
10X397,270,181,0.67,144,0.533,126,0.467,89,0.330
10X433,387,282,0.729,241,0.623,146,0.377,105,0.271
10X434,387,297,0.767,276,0.713,111,0.287,90,0.233
10X437,389,300,0.771,273,0.702,116,0.298,89,0.229
10X438,396,290,0.732,261,0.659,135,0.341,106,0.268
10X439,395,293,0.742,263,0.666,132,0.334,102,0.258
10X440,997,721,0.723,657,0.659,340,0.341,276,0.277
10X442,424,356,0.84,333,0.785,91,0.215,68,0.160
10X445,2974,2809,0.945,2750,0.925,224,0.075,165,0.055
10X447,436,280,0.642,241,0.553,195,0.447,156,0.358
10X477,436,350,0.803,323,0.741,113,0.259,86,0.197
10X524,324,219,0.676,173,0.534,151,0.466,105,0.324
10X546,256,167,0.652,139,0.543,117,0.457,89,0.348
10X549,410,309,0.754,278,0.678,132,0.322,101,0.246
10X565,416,284,0.683,236,0.567,180,0.433,132,0.317
10X696,405,375,0.926,363,0.896,42,0.104,30,0.074
11X016,254,107,0.421,79,0.311,175,0.689,147,0.579
11X019,577,259,0.449,218,0.378,359,0.622,318,0.551
11X021,504,166,0.329,120,0.238,384,0.762,338,0.671
11X041,651,225,0.346,156,0.24,495,0.760,426,0.654
11X068,431,149,0.346,107,0.248,324,0.752,282,0.654
11X076,690,240,0.348,166,0.241,524,0.759,450,0.652
11X078,580,197,0.34,150,0.259,430,0.741,383,0.660
11X083,1635,586,0.358,474,0.29,1161,0.710,1049,0.642
11X087,345,111,0.322,84,0.243,261,0.757,234,0.678
11X089,1241,536,0.432,413,0.333,828,0.667,705,0.568
11X096,791,226,0.286,163,0.206,628,0.794,565,0.714
11X097,471,195,0.414,161,0.342,310,0.658,276,0.586
11X103,740,275,0.372,196,0.265,544,0.735,465,0.628
11X105,700,244,0.349,182,0.26,518,0.740,456,0.651
11X106,845,451,0.534,374,0.443,471,0.557,394,0.466
11X108,499,169,0.339,139,0.279,360,0.721,330,0.661
11X111,441,164,0.372,113,0.256,328,0.744,277,0.628
11X112,334,98,0.293,69,0.207,265,0.793,236,0.707
11X121,548,210,0.383,154,0.281,394,0.719,338,0.617
11X127,808,550,0.681,486,0.601,322,0.399,258,0.319
11X144,415,222,0.535,179,0.431,236,0.569,193,0.465
11X153,451,236,0.523,195,0.432,256,0.568,215,0.477
11X160,300,122,0.407,100,0.333,200,0.667,178,0.593
11X169,296,105,0.355,68,0.23,228,0.770,191,0.645
11X175,240,117,0.488,91,0.379,149,0.621,123,0.512
11X178,300,130,0.433,103,0.343,197,0.657,170,0.567
11X180,838,535,0.638,465,0.555,373,0.445,303,0.362
11X181,733,483,0.659,432,0.589,301,0.411,250,0.341
11X189,264,93,0.352,67,0.254,197,0.746,171,0.648
11X194,1142,636,0.557,551,0.482,591,0.518,506,0.443
11X249,342,251,0.734,222,0.649,120,0.351,91,0.266
11X253,219,130,0.594,104,0.475,115,0.525,89,0.406
11X265,261,167,0.64,148,0.567,113,0.433,94,0.360
11X270,387,241,0.623,216,0.558,171,0.442,146,0.377
11X275,482,339,0.703,305,0.633,177,0.367,143,0.297
11X287,377,186,0.493,140,0.371,237,0.629,191,0.507
11X288,566,413,0.73,363,0.641,203,0.359,153,0.270
11X290,356,232,0.652,194,0.545,162,0.455,124,0.348
11X299,443,319,0.72,291,0.657,152,0.343,124,0.280
11X326,365,196,0.537,161,0.441,204,0.559,169,0.463
11X355,259,138,0.533,111,0.429,148,0.571,121,0.467
11X357,335,137,0.409,113,0.337,222,0.663,198,0.591
11X370,403,197,0.489,167,0.414,236,0.586,206,0.511
11X418,419,264,0.63,233,0.556,186,0.444,155,0.370
11X455,2085,1462,0.701,1316,0.631,769,0.369,623,0.299
11X462,202,117,0.579,106,0.525,96,0.475,85,0.421
11X468,280,154,0.55,131,0.468,149,0.532,126,0.450
11X481,280,78,0.279,52,0.186,228,0.814,202,0.721
11X483,240,78,0.325,57,0.238,183,0.762,162,0.675
11X498,578,273,0.472,238,0.412,340,0.588,305,0.528
11X508,399,274,0.687,239,0.599,160,0.401,125,0.313
11X509,341,204,0.598,170,0.499,171,0.501,137,0.402
11X513,314,196,0.624,166,0.529,148,0.471,118,0.376
11X514,340,201,0.591,169,0.497,171,0.503,139,0.409
11X529,320,210,0.656,185,0.578,135,0.422,110,0.344
11X532,286,165,0.577,142,0.497,144,0.503,121,0.423
11X542,488,362,0.742,321,0.658,167,0.342,126,0.258
11X544,268,172,0.642,141,0.526,127,0.474,96,0.358
11X545,177,108,0.61,88,0.497,89,0.503,69,0.390
11X556,396,199,0.503,163,0.412,233,0.588,197,0.497
11X566,338,174,0.515,143,0.423,195,0.577,164,0.485
11X567,344,143,0.416,114,0.331,230,0.669,201,0.584
12X006,419,140,0.334,93,0.222,326,0.778,279,0.666
12X044,199,68,0.342,47,0.236,152,0.764,131,0.658
12X047,836,317,0.379,223,0.267,613,0.733,519,0.621
12X057,387,150,0.388,109,0.282,278,0.718,237,0.612
12X061,210,76,0.362,51,0.243,159,0.757,134,0.638
12X066,423,123,0.291,70,0.165,353,0.835,300,0.709
12X067,325,121,0.372,76,0.234,249,0.766,204,0.628
12X098,162,102,0.63,88,0.543,74,0.457,60,0.370
12X129,383,223,0.582,177,0.462,206,0.538,160,0.418
12X134,412,129,0.313,68,0.165,344,0.835,283,0.687
12X150,520,189,0.363,124,0.238,396,0.762,331,0.637
12X190,239,144,0.603,116,0.485,123,0.515,95,0.397
12X195,757,261,0.345,176,0.232,581,0.768,496,0.655
12X196,661,291,0.44,207,0.313,454,0.687,370,0.560
12X211,387,188,0.486,149,0.385,238,0.615,199,0.514
12X214,901,401,0.445,313,0.347,588,0.653,500,0.555
12X217,260,148,0.569,120,0.462,140,0.538,112,0.431
12X242,667,496,0.744,459,0.688,208,0.312,171,0.256
12X248,155,109,0.703,95,0.613,60,0.387,46,0.297
12X251,313,209,0.668,187,0.597,126,0.403,104,0.332
12X267,514,384,0.747,339,0.66,175,0.340,130,0.253
12X271,562,388,0.69,333,0.593,229,0.407,174,0.310
12X273,233,121,0.519,92,0.395,141,0.605,112,0.481
12X286,264,142,0.538,115,0.436,149,0.564,122,0.462
12X300,437,145,0.332,82,0.188,355,0.812,292,0.668
12X314,192,61,0.318,38,0.198,154,0.802,131,0.682
12X316,313,192,0.613,165,0.527,148,0.473,121,0.387
12X318,170,104,0.612,85,0.5,85,0.500,66,0.388
12X341,287,159,0.554,132,0.46,155,0.540,128,0.446
12X383,365,226,0.619,196,0.537,169,0.463,139,0.381
12X388,339,250,0.737,211,0.622,128,0.378,89,0.263
12X446,165,91,0.552,67,0.406,98,0.594,74,0.448
12X458,225,95,0.422,64,0.284,161,0.716,130,0.578
12X463,331,116,0.35,84,0.254,247,0.746,215,0.650
12X478,353,279,0.79,257,0.728,96,0.272,74,0.210
12X479,272,180,0.662,152,0.559,120,0.441,92,0.338
12X480,106,44,0.415,27,0.255,79,0.745,62,0.585
12X511,335,224,0.669,192,0.573,143,0.427,111,0.331
12X521,431,304,0.705,270,0.626,161,0.374,127,0.295
12X531,321,127,0.396,95,0.296,226,0.704,194,0.604
12X536,299,128,0.428,79,0.264,220,0.736,171,0.572
12X550,312,231,0.74,200,0.641,112,0.359,81,0.260
12X595,250,79,0.316,44,0.176,206,0.824,171,0.684
12X682,450,289,0.642,254,0.564,196,0.436,161,0.358
12X684,274,164,0.599,140,0.511,134,0.489,110,0.401
12X691,279,134,0.48,93,0.333,186,0.667,145,0.520
13K003,207,84,0.406,57,0.275,150,0.725,123,0.594
13K008,569,514,0.903,479,0.842,90,0.158,55,0.097
13K009,644,439,0.682,397,0.616,247,0.384,205,0.318
13K011,754,463,0.614,414,0.549,340,0.451,291,0.386
13K020,510,340,0.667,313,0.614,197,0.386,170,0.333
13K044,104,25,0.24,15,0.144,89,0.856,79,0.760
13K046,185,56,0.303,40,0.216,145,0.784,129,0.697
13K054,138,48,0.348,35,0.254,103,0.746,90,0.652
13K056,223,129,0.578,105,0.471,118,0.529,94,0.422
13K067,182,52,0.286,35,0.192,147,0.808,130,0.714
13K093,138,31,0.225,24,0.174,114,0.826,107,0.775
13K113,266,136,0.511,111,0.417,155,0.583,130,0.489
13K133,570,373,0.654,325,0.57,245,0.430,197,0.346
13K256,197,42,0.213,28,0.142,169,0.858,155,0.787
13K265,276,148,0.536,128,0.464,148,0.536,128,0.464
13K266,109,61,0.56,49,0.45,60,0.550,48,0.440
13K270,75,27,0.36,17,0.227,58,0.773,48,0.640
13K282,418,255,0.61,235,0.562,183,0.438,163,0.390
13K287,108,26,0.241,15,0.139,93,0.861,82,0.759
13K301,76,29,0.382,23,0.303,53,0.697,47,0.618
13K307,284,122,0.43,96,0.338,188,0.662,162,0.570
13K313,264,158,0.598,143,0.542,121,0.458,106,0.402
13K350,126,80,0.635,75,0.595,51,0.405,46,0.365
13K351,193,118,0.611,105,0.544,88,0.456,75,0.389
13K412,529,314,0.594,262,0.495,267,0.505,215,0.406
13K419,508,345,0.679,319,0.628,189,0.372,163,0.321
13K430,5921,5428,0.917,5294,0.894,627,0.106,493,0.083
13K439,318,202,0.635,159,0.5,159,0.500,116,0.365
13K483,444,325,0.732,288,0.649,156,0.351,119,0.268
13K492,631,466,0.739,435,0.689,196,0.311,165,0.261
13K527,463,297,0.641,260,0.562,203,0.438,166,0.359
13K553,109,31,0.284,20,0.183,89,0.817,78,0.716
13K594,201,143,0.711,131,0.652,70,0.348,58,0.289
13K595,370,284,0.768,259,0.7,111,0.300,86,0.232
13K605,634,412,0.65,360,0.568,274,0.432,222,0.350
13K616,142,54,0.38,30,0.211,112,0.789,88,0.620
13K670,789,578,0.733,508,0.644,281,0.356,211,0.267
13K674,470,334,0.711,297,0.632,173,0.368,136,0.289
13K691,166,94,0.566,80,0.482,86,0.518,72,0.434
13K915,291,229,0.787,214,0.735,77,0.265,62,0.213
14K016,169,39,0.231,20,0.118,149,0.882,130,0.769
14K017,196,71,0.362,55,0.281,141,0.719,125,0.638
14K018,169,57,0.337,43,0.254,126,0.746,112,0.663
14K023,207,66,0.319,47,0.227,160,0.773,141,0.681
14K031,472,255,0.54,212,0.449,260,0.551,217,0.460
14K034,362,194,0.536,174,0.481,188,0.519,168,0.464
14K050,319,185,0.58,156,0.489,163,0.511,134,0.420
14K059,269,87,0.323,62,0.23,207,0.770,182,0.677
14K071,490,333,0.68,284,0.58,206,0.420,157,0.320
14K084,568,326,0.574,284,0.5,284,0.500,242,0.426
14K110,417,285,0.683,256,0.614,161,0.386,132,0.317
14K120,280,101,0.361,80,0.286,200,0.714,179,0.639
14K126,223,107,0.48,92,0.413,131,0.587,116,0.520
14K132,546,332,0.608,292,0.535,254,0.465,214,0.392
14K147,197,74,0.376,59,0.299,138,0.701,123,0.624
14K157,262,113,0.431,86,0.328,176,0.672,149,0.569
14K196,270,100,0.37,79,0.293,191,0.707,170,0.630
